"ep_airdate","tweet_id","text_clean","n_questions"
"2014-11-13","533026772045271040","With Ed Miliband’s approval ratings lower than Nick Clegg’s, does it seem wise to find a new leader before the General Election next year?",5
"2014-11-13","533029907883098112","Should convicted rapist Ched Evans be allowed to return to playing football for Sheffield United and Wales?",5
"2014-11-13","533033109428899841","Would the NHS be safe in the hands of a future Labour government?",5
"2014-11-13","533037617953378305","Is it a fiasco that a major British food company has to go abroad to recruit 300 sandwich makers?",5
"2014-11-13","533039318408134656","With yet more politicians, more bureaucrats and more government costs, has devolution of power in the UK now become a runaway train?",5
"2014-11-20","535563150733881344","Both Labour and Conservatives have recently released policies intended to limit EU immigration. Does that mean UKIP have been right all along?",5
"2014-11-20","535567725662576641","If UKIP win today’s by-election, will we see further defections to the party?",5
"2014-11-20","535568726880714752","Is the Labour Party right to want to tax ‘grannies’ in 2 million pound ‘garages’?",5
"2014-11-20","535571930397814784","How do we tackle unrealistic expectations of the NHS and abuse of the service by patients?",5
"2014-11-20","535575961191071744","Theresa May banned Julien Blanc from Britain. Do we now deny entry to the likes of Hugh Hefner and, if so, can we do that without inhibiting freedom of expression?",5
"2014-11-27","538099867214966784","Is David Cameron’s  “no ifs no buts” promise  to reduce immigration to  tens of thousands now in tatters?",5
"2014-11-27","538104828090908672","Does the threat by Labour to remove the tax breaks given to private schools signal a new class war?",5
"2014-11-27","538108499268751360","I am a single parent working full time  struggling to pay my bills and put food  on the table. Is it fair that there are  unemployed people with more  money in their pockets than I have?",5
"2014-11-27","538111394408038400","Is it the job of Facebook  to protect the public  from the threat of terrorism?",5
"2014-11-27","538112913383624704","Has any political party tried hard enough to engage the white van man in national politics?",5
"2014-12-04","540638179166920705","Why can’t the politicians tell us the truth about the 60% of cuts that are heading our way?",3
"2014-12-04","540644613883576321","What is the future for the British identity after a recent survey showed in some areas of England the most popular typical British names have been replaced with those of Islamic origin?",3
"2014-12-04","540651521642209280","Why should smokers and obese people be denied routine surgery because of their way of life?",3
"2014-12-11","543172153521479680","Is the petty adversarial nature of politics causing tts own demise?",4
"2014-12-11","543177684864753664","Is Britain really overcrowded?",4
"2014-12-11","543182082047225856","What role should the private-sector play in the future of the NHS?",4
"2014-12-11","543185575407542273","Would education and social mobility improve if we returned to a system that included grammar schools - as we still have in Kent?",4
"2015-01-08","553321183350112256","Is there any way to stop the type of attack that happened in France?",3
"2015-01-08","553327770265456640","After serving his sentence for rape, should footballer Ched Evans be given a chance to continue with his career?",3
"2015-01-08","553331992821891072","Who is to blame for A&E waiting times, the NHS, the government or the public?",3
"2015-01-15","555856707180847104","Free speech is good, but where do you draw the line before it becomes harmful and offensive?",4
"2015-01-15","555861934621622273","Should the security forces have full access to telephone and messaging records if it helps to identify terrorists?",4
"2015-01-15","555865893616369665","Can a 44-year-old teacher be “groomed” by a 16 year-old schoolgirl?",4
"2015-01-15","555868058913218561","In order to reduce the deficit, should we tax more or streamline certain services?",4
"2015-01-22","558393715707084800","Should Page 3 end now?",4
"2015-01-22","558396519364460546","Who benefits by delaying the publication of the Chilcot Report until after the General Election?",4
"2015-01-22","558400381160808449","Is Nigel Farage right in saying that the NHS in its current form will be unaffordable in the future?",4
"2015-01-22","558405147182006272","Why are the SNP, who lost the referendum, having so much say in British politics?",4
"2015-01-29","560931748004237312","Is the NHS ‘worse in Wales’ than in England?",2
"2015-01-29","560936621051101184","Should countries and people renege on debt?",2
"2015-02-05","563474049163354112","Is it realistic for David Cameron to expect there to be “no more bog-standard schools” whilst reducing funding in education?",2
"2015-02-05","563478238379667456","Why is anti-semitism rising in the UK?",2
"2015-02-12","566005236964139008","Is ‘vanilla’ tax avoidance morally acceptable as ‘everyone does it’?",4
"2015-02-12","566010710015352832","Is the West effectively appeasing  Russia in regard to Ukraine,  and is there any real alternative?",4
"2015-02-12","566014518858612737","Will the ‘Barbie’ bus draw more female voters to vote or drive more away?",4
"2015-02-12","566017518809395200","NHS A&E is full of patients whose ailments may be trivial or even self-inflicted. Should they be encouraged to pay for their treatment?",4
"2015-02-19","568542376861564928","Recovering economy, low unemployment, controlled inflation: why are the Conservatives not set for a landslide victory in the election?",5
"2015-02-19","568546174841556992","Have Ant and Dec articulated what millions of other people are thinking?",5
"2015-02-19","568546993569726464","Is Russia a real threat and since cuts in defence, are we prepared?",5
"2015-02-19","568551031380049920","Should David Cameron's proposed policy of unemployed 18-21 year olds having to do community work be extended to all claimants?",5
"2015-02-19","568555138786267137","In the event of a Labour minority government will Scotland be ruling Westminster?",5
"2015-02-26","571078838962294784","Whose fault is it that net migration has risen?",4
"2015-02-26","571083074273992704","Should MPs be allowed to have second jobs?",4
"2015-02-26","571087757172461569","Young people going to  Syria - victims or terrorists?",4
"2015-02-26","571090541892521984","How can we as a country continue to give pensioners who are not in need their free TV licence and fuel allowance, when there’s not enough money to go round?",4
"2015-03-05","573615499835273218","ls David Cameron a ‘big feartie’?",3
"2015-03-05","573617608039227392","If a large contingent of SNP MPs are elected at the General Election, what effect will it have on the UK parliament?",3
"2015-03-05","573624269109878784","Do we need stronger laws to ban hate preachers from British universities?",3
"2015-03-12","576152177867157504","In an increasingly uncertain world, is it reckless for the government not to commit to a real terms increase in defence spending",4
"2015-03-12","576155658581577728","Opinion polls show that no party will win an overall majority and that we will have another coalition. Would a Labour/SNP coalition be a betrayal to the millions of English voters?",4
"2015-03-12","576160481435627520","Should the Metropolitan Police have had to apologise to the families of the three girls who travelled to Syria to join up with ISIS?",4
"2015-03-12","576165599056900096","Can the BBC really afford to lose Jeremy Clarkson?",4
"2015-03-19","578688890887938049","In his budget speech George Osborne kept telling us we are better off, so why do a lot of hard working families not feel that way?",3
"2015-03-19","578695548687003648","After the recent deadly attack in Tunisia, how can Britain justify its policy of allowing female Da’esh terrorist sympathizers back to the UK with open arms?",3
"2015-03-19","578701702611750913","Why can’t MP’s be more truthful?",3
"2015-03-26","581225966317494272","Do the television debates have any real political merit, or are they just the result of our culture of personality?",4
"2015-03-26","581230462984720384","Given that both major parties have ruled out increases in VAT and NI, does this mean that spending plans will have to be paid for by even greater cuts in welfare?",4
